1	2	1029	1088	1041	259
0	3	1023	1027	1094	1238
0	2	1072	1173	845	977
0	2	1089	937	933	196
0	1	212	237	126	262
0	0	0	200	2	58
0	3	1082	735	1094	206
1	0	239	406	434	165
1	3	1145	1034	1006	495
1	2	1087	826	1047	442
1	1	340	743	355	974
2	2	1124	1175	1137	208
2	3	1014	1094	934	328
2	0	97	85	183	153
2	1	67	102	187	202
3	2	1083	954	1089	149
3	0	119	214	339	192
3	1	118	118	380	9
3	3	1151	794	1151	700
0	3	1178	854	1286	983
0	2	1089	1047	1080	846
0	0	127	153	206	1191
1	0	239	406	434	228
1	2	1029	1088	1059	1099
1	3	882	909	1145	192
1	1	113	216	205	570
2	3	1094	945	937	192
0	2	1173	1208	1204	752
0	3	1027	1124	1082	209
0	0	151	161	127	436
1	0	239	406	288	182
1	1	314	318	216	1155
1	2	1088	1065	926	968
0	3	1094	1019	1046	120
0	2	1173	1208	1196	1253
0	3	1094	749	741	511
0	1	232	217	126	1035
1	0	239	406	434	228
1	1	201	216	198	910
0	2	1208	1173	1200	170
0	3	1087	1270	1141	392
0	1	75	72	187	50
0	0	4	0	148	1111
1	0	135	153	264	594
1	1	87	193	56	488
1	3	599	1174	782	1058
1	2	890	1087	981	1052
2	3	1094	945	937	276
2	1	66	199	102	710
2	2	876	1118	846	173
2	0	145	404	261	1260
3	3	1265	996	1307	733
3	2	1025	902	1016	473
3	0	349	167	186	434
3	1	118	79	79	719
0	3	1023	1052	1094	272
0	1	298	73	78	9
0	0	181	121	151	240
0	2	1089	1059	897	232
1	1	268	329	327	1291
0	1	77	46	130	280
0	3	1159	1288	1178	420
0	2	1167	1226	1162	1013
0	0	159	485	127	104
1	1	198	216	178	441
1	3	1034	1004	1145	337
1	2	1087	1249	1027	465
1	0	140	136	248	1260
2	2	1026	991	967	359
2	1	70	96	65	106
2	3	1223	1123	479	299
2	0	145	629	52	258
0	3	1178	1005	611	1216
0	2	1216	1173	1230	70
0	1	232	245	132	1196
0	0	17	1	47	1209
1	0	239	406	264	467
1	1	191	203	216	294
1	3	1146	872	232	498
1	2	1088	476	873	508
2	3	1094	945	937	103
2	2	1118	1118	762	151
0	2	1173	1208	1204	36
0	3	1272	1172	1064	19
0	0	127	167	133	293
0	1	138	221	126	499
1	0	135	153	264	230
1	1	494	189	209	758
1	3	1145	1034	1058	91
2	2	1124	1175	1137	790
2	1	212	290	574	448
2	0	7	97	134	218
2	3	1219	1232	1123	158
0	0	127	157	150	354
0	3	1026	1094	1064	384
0	2	335	1059	1095	489
0	1	268	132	244	1018
1	1	244	411	331	1259
1	0	9	234	157	1173
1	2	1013	898	1095	1315
1	3	917	1146	1007	388
2	2	1124	1175	1137	149
2	3	966	1095	1014	1197
2	1	212	296	212	333
2	0	3	97	40	563
3	1	100	94	118	0
3	0	22	195	32	638
3	3	1006	1034	1151	532
3	2	981	620	1095	877
0	2	937	1089	1065	73
0	1	126	236	222	1278
0	3	1135	1178	1278	1088
1	0	239	406	418	965
1	1	203	215	214	215
0	1	132	204	240	734
0	2	1167	1256	449	1175
0	3	999	1124	919	1146
0	0	300	121	371	134
1	1	198	216	202	1191
1	0	194	245	293	1082
1	2	1090	1087	942	592
1	3	1145	1143	848	345
2	2	1124	1175	1137	107
2	0	22	157	97	1143
0	0	127	180	168	253
0	1	126	126	245	203
0	2	1203	1195	1167	169
0	3	1009	911	753	523
1	0	239	406	264	47
1	1	262	393	250	353
1	3	1316	1180	1185	743
2	3	1094	945	937	898
2	1	102	45	66	181
2	2	1182	1016	1118	383
2	0	12	214	97	555
3	1	124	90	99	438
3	2	1200	973	709	910
3	0	186	344	354	1037
3	3	1064	1151	130	915
0	3	1178	1290	1178	1054
0	1	132	237	132	564
0	0	294	166	373	511
0	2	774	637	1095	637
1	0	239	406	288	346
1	1	452	405	244	467
1	3	1146	1064	921	131
1	2	926	1087	1087	257
2	2	1124	1175	1137	589
2	1	102	74	137	374
2	0	160	154	145	37
2	3	1094	996	438	183
0	3	1291	1172	1288	92
0	2	1089	1041	1077	6
0	0	146	121	28	326
0	1	132	241	208	442
1	0	239	406	264	721
1	1	231	200	215	175
0	1	223	132	244	85
0	0	153	155	121	83
